SMILES,CID
[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-][P]1(=O)O[P]([O-])(=O)O[P]([O-])(=O)O[P]([O-])(=O)O[P]([O-])(=O)O[P]([O-])(=O)O1,24968
[K+].CCCCCCCCCCCC([O-])=O,23675775
O.O.[Cl-].[Cl-].[Cu++],26342
[OH-].[Na+].[Cr+3].Cc1nn(c2ccccc2)c([O-])c1N=Nc3cc(cc(c3[O-])[S]([O-])(=O)=O)[N+]([O-])=O,82375
O=C1OC(=Nc2ccccc12)c3ccccc3N[S](=O)(=O)c4ccc5ccccc5c4,82379
OC(Cc1ccccn1)C(Cl)(Cl)Cl,348495
c1ccc(cc1)\C=C\c2cccc(/C=C/c3ccccc3)n2,5899185
O=s1c2ccccc2c3ccccc13,13898
N=C(c1ccccc1)c2ccccc2,136809
[NH4+].[Fe+3].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,61485
CCCCC(CC)COC(=O)C1CC2OC2CC1C(=O)OCC(CC)CCCC,202332
[Cl-].[Cl-].[Cl-].[Gd+3],61486
CNc1nc(NC(C)C)nc(SC)n1,13904
CCNc1nc(NCC)nc(SC)n1,13905
O.O.O.O.O.O.O.O.O.O.O.O.[K+].[Cr+3].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,24596
O.O.O.O.O.O.[Dy+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N](=O)=O,215463
Fc1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1NC(=O)NC(=O)c3c(F)cccc3F,91766
CC(C)c1ccc(cc1)\C=N\NC(=O)c2ccc(O)cc2,5331325
O=[S]1(=O)c2ccccc2c3ccccc13,13908
COC(c1ccccc1)c2ccccc2,219159
Clc1cccc(c1)C(=O)c2ccccc2,66098
C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O,25015
CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C,66359
[Er+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,159265
[Gd+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,159266
OC(=O)c1cc(Br)cc(c1O)[N+]([O-])=O,3014622
CCO[P](=S)(OCC)SCC1(C)SCCS1,70550
O.O.[Na+].[O-]c1c2ccccc2c(cc1[N+]([O-])=O)[N+]([O-])=O,5284511
[Na+].Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2[O-],23670853
C[C@@]1(CCc2cc(O)ccc2[C@H]1CCCCCCCCC[S](=O)CCCC(F)(F)C(F)(F)F)c3ccc(O)cc3,127989
OCCN(CCO)CC[S](O)(=O)=O,73243
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1,14985
[NH4+].[O-][S]([O-])=O,6399221
O[Si](O)(O)O,14942
SCC(=O)OCC(COC(=O)CS)(COC(=O)CS)COC(=O)CS,82441
[NH4+].[NH4+].[O-][S]([O-])=O,25041
CN1CCO[Si](C)(C)C1,82445
CC(=O)CC(=O)Nc1ccccc1,7592
CN(Cc1ccccc1)Cc2ccccc2,21583
NC(Nc1ccccc1)=Nc2ccccc2,7594
O=C(Nc1ccccc1)Nc2ccccc2,7595
S=C(Nc1ccccc1)Nc2ccccc2,700999
O=C(Oc1ccccc1)Oc2ccccc2,7597
O=C(Cc1ccccc1)OCc2ccccc2,60999
CC(C)CCOC(=O)Cc1ccccc1,7600
O=C(Cc1ccccc1)OCCc2ccccc2,7601
COB1OB(OC)OB(OC)O1,66880
CCNc1cccc(C)c1,7603
OC(=O)Cc1ccc(O)c(O)c1,547
Clc1ccc(cc1Cl)N=C=O,7607
OCCOc1cccc(OCCO)c1,66885
[Fe++].[cH-]1cccc1.[cH-]2cccc2,7611
COc1ccc(OC)c(N)c1,7613
CCCN(CCC)CCC,7616
OCCN(CCO)CCO,7618
CC(=O)OCC(COC(C)=O)OC(C)=O,5541
C1CN(CCO1)Sc2sc3ccccc3n2,7619
CCCCN(CCO)CCO,7620
CCCCN(CCO)CCCC,7621
CCCCN(CCCC)CCCC,7622
CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,7624
CC(C)NCc1ccccc1,66024
OB(O)[O-].[Hg+]c1ccccc1,7627
Cc1c(ccc(N)c1[N+]([O-])=O)[N+]([O-])=O,82449
Clc1cc(Cl)cc(C=O)c1,35746
OC1OCC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,120890
CCO[Si](CCC1CCC2OC2C1)(OCC)OCC,154915
ClC=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,98491
NC(=O)C(Br)(Br)C#N,25059
CC(=O)CCCCCl,82468
CC#CCCO,66295
CCCCCCCCCCCC(=O)OC(C)C,25068
CNC(=O)Oc1ccc(NC)c(C)c1,25071
N[C@@H](C[Se])C(O)=O,6326983
COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)[S](=O)(=O)NC(=O)NC3CCCCC3,3488
ClC1C2OC2C3C1C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl,13930
[Cl-].[Cl-].[Cl-].[Co+3],66297
[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Mo+5],61497
CCCCN(CCCC)C(=S)SCSC(=S)N(CCCC)CCCC,82496
CCCC[N+](CCCC)(CCCC)Cc1ccccc1.Oc2ccc(c3ccccc23)[S]([O-])(=O)=O,124610
O[C@@H](CNc1ccccc1)C[S]([O-])(=O)=O,7364887
CO[P](N)(=O)SC,4096
[Cl-].N#Cc1ccc(cc1)C2CCCc3cncn23.[H+],59694
CC(C)N(C(C)C)P(OCCC#N)N(C(C)C)C(C)C,128153
[K+].[Cr+3].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,61489
CC1CCC2CC1C2(C)C,10129
COC1[C@@H](O)[C@@H](O)C(O)[C@H](O)[C@H]1O,164619
